RTT,Label
0.645,1
13.657,0
4.253,0
0.625,0
0.688,0
11.786,1
11.808,1
11.891,1
19.276,0
0.754,0
0.643,1
12.073,0
0.509,1
0.721,1
11.345,1
4.913,0
14.227,1
18.713,0
5.692,1
0.722,0
0.506,0
17.370,1
5.634,0
12.598,0
4.997,1
11.887,1
0.711,1
22.554,0
0.723,0
0.712,1
0.565,1
12.415,1
18.323,0
16.761,1
5.307,1
11.811,1
21.829,0
7.287,1
9.835,1
14.488,1
8.989,0
17.046,0
0.693,1
9.468,1
0.693,0
15.750,0
5.026,1
0.658,0
0.538,1
13.156,0
0.702,1
16.774,0
13.470,1
5.493,1
11.802,1
14.359,0
0.544,0
0.583,1
15.562,0
21.288,1
9.715,1
0.643,0
0.691,0
0.739,1
0.652,1
0.708,1
12.016,0
9.437,0
0.762,0
0.693,1
18.642,0
18.205,1
10.001,1
9.592,1
0.525,0
12.107,0
0.712,1
11.530,0
0.556,1
9.419,0
1.239,0
0.748,1
0.692,0
9.000,0
0.733,0
0.679,0
0.609,0
0.511,0
0.715,1
0.677,1
8.658,1
0.740,0
14.419,0
14.876,1
4.833,1
14.511,1
13.080,0
9.413,1
5.146,1
12.839,1
15.660,1
13.817,1
11.293,1
10.886,1
8.772,1
10.560,0
6.368,1
5.394,0
0.700,1
0.626,0
0.685,0
9.978,1
0.676,1
0.736,0
8.791,0
13.590,0
5.157,1
0.783,0
11.694,1
14.062,1
4.845,0
13.290,0
5.072,1
13.210,1
13.538,0
9.543,1
11.192,1
14.348,0
0.975,0
19.432,1
17.765,0
0.713,1
0.712,1
16.941,1
0.713,1
0.732,0
15.269,1
9.516,0
0.703,0
0.724,0
0.736,1
0.602,1
4.260,0
0.624,0
15.502,0
5.818,1
0.717,0
0.711,0
0.601,0
0.597,0
0.602,0
0.690,0
0.737,0
