RTT,Label
9.520,0
20.276,1
19.270,1
4.766,0
14.769,1
16.069,1
17.072,1
17.096,1
5.047,0
0.717,0
15.518,1
18.523,1
17.148,1
13.398,1
4.148,0
13.289,1
11.454,1
4.405,0
17.763,1
5.644,0
16.524,1
4.529,0
12.236,1
15.022,1
15.764,1
6.607,0
0.693,0
0.703,0
17.014,1
11.360,1
6.874,0
0.625,0
18.119,1
6.703,0
18.338,1
14.187,1
15.632,1
6.928,0
16.730,1
21.230,1
5.586,0
0.551,0
0.505,0
13.771,1
14.443,1
5.159,0
0.658,0
0.705,0
19.794,1
5.989,0
0.712,0
15.502,1
20.958,1
17.157,1
5.034,0
0.693,0
17.377,1
11.116,1
14.168,1
17.782,1
20.866,1
14.141,1
10.334,0
0.728,0
0.735,0
12.404,1
8.485,0
17.154,1
12.419,1
4.639,0
0.720,0
16.820,1
6.882,0
0.591,0
12.922,1
13.636,1
5.650,0
18.618,1
16.223,1
11.029,0
19.255,1
17.236,1
16.300,1
12.871,1
14.384,1
4.957,0
0.709,0
0.728,0
13.234,1
8.706,0
0.721,0
16.453,1
17.057,1
5.097,0
5.417,0
0.560,0
4.978,0
20.540,1
3.929,0
13.100,1
18.400,1
5.937,0
17.179,1
15.083,1
4.408,0
15.985,1
15.785,1
16.882,1
15.291,1
15.206,1
12.040,0
10.724,1
0.676,0
17.045,1
12.968,1
4.190,0
10.269,0
0.653,0
0.697,0
14.882,1
17.089,1
17.258,1
6.252,0
0.698,0
0.695,0
19.423,1
9.890,1
16.592,0
17.010,1
5.119,0
22.292,1
12.459,1
5.478,0
15.083,1
19.758,1
4.953,0
14.254,1
18.057,1
18.268,1
8.874,0
15.422,1
16.597,1
4.636,0
15.665,1
12.325,1
9.157,0
0.682,0
19.056,1
5.191,0
0.703,0
0.719,0
19.122,1
12.194,0
15.351,1
5.847,0
16.689,1
19.370,1
7.008,0
7.796,0
0.727,0
20.894,1
22.399,0
4.591,1
0.704,0
9.811,1
12.665,0
16.287,1
21.570,1
14.317,1
11.714,0
19.271,1
4.855,0
0.704,0
0.627,0
0.529,0
11.759,0
16.399,1
18.367,1
4.080,0
0.699,0
10.287,1
9.771,1
18.209,1
8.976,0
0.751,0
0.717,0
0.718,0
12.847,1
4.841,0
20.863,1
7.860,0
0.709,0
16.061,1
18.723,1
7.920,1
0.721,0
14.401,1
4.935,0
18.260,1
6.677,0
0.654,0
6.578,0
10.485,1
14.615,1
21.347,1
6.002,0
0.719,0
16.939,1
20.042,0
5.120,1
17.040,1
5.114,1
0.613,0
0.723,0
0.696,0
15.495,1
4.786,1
0.638,0
0.913,0
9.232,1
0.701,0
9.242,1
21.192,1
5.653,1
0.672,0
17.096,1
6.306,1
0.628,0
16.760,1
18.984,0
9.070,1
0.756,0
13.322,1
9.573,1
17.539,1
5.960,1
7.913,1
0.734,0
16.808,1
14.234,0
19.017,1
20.407,1
22.560,1
6.313,1
15.679,1
5.019,0
0.918,0
13.173,1
18.026,0
7.677,1
0.688,0
14.417,1
22.233,1
5.087,1
0.768,0
0.850,0
16.983,1
10.928,1
8.761,1
0.612,0
0.481,0
16.960,1
11.445,1
10.803,1
0.690,0
0.693,0
0.740,0
13.972,1
18.039,0
15.087,1
9.426,1
8.783,1
0.727,0
0.722,0
0.727,0
0.677,0
0.820,0
21.468,1
4.870,1
0.705,0
0.699,0
7.257,1
0.738,0
11.831,0
7.152,1
22.905,1
0.693,0
0.688,0
14.833,1
5.404,0
14.256,0
16.047,1
6.084,1
0.688,0
0.720,0
0.623,0
0.744,0
16.843,0
15.540,1
4.803,1
0.792,0
8.673,0
16.472,1
10.255,0
0.702,0
14.873,1
19.498,1
5.358,1
0.670,0
12.035,1
13.965,1
9.533,1
13.886,1
18.386,1
6.602,1
15.244,1
4.826,1
10.057,0
9.148,1
0.710,0
8.566,1
0.733,0
0.687,0
0.609,0
13.082,1
5.221,0
14.590,1
5.722,1
0.701,0
0.705,0
13.231,0
3.988,1
13.391,0
6.137,1
11.902,1
4.837,1
0.598,0
9.057,0
6.743,1
14.241,0
9.220,1
15.747,1
6.029,1
0.716,0
14.322,0
5.270,1
13.826,0
9.288,1
12.136,1
13.911,1
5.173,1
0.716,0
8.927,0
0.681,0
15.384,0
12.018,1
7.843,1
7.678,1
11.571,0
5.532,1
0.738,0
0.709,0
0.677,0
11.466,0
8.651,1
0.713,0
0.682,0
0.611,0
0.683,0
0.682,0
0.574,0
0.630,0
