RTT,Label
12.084,1
5.319,0
10.301,1
14.477,1
14.660,1
5.167,0
0.516,0
15.620,1
5.197,0
0.551,1
13.795,1
11.432,1
11.644,1
11.252,1
14.751,1
5.254,0
0.765,0
14.120,1
11.603,1
9.586,0
11.187,1
10.818,1
8.945,0
21.664,1
12.214,1
11.594,1
13.426,1
5.484,0
13.456,1
5.422,0
22.293,1
5.320,0
0.714,1
18.458,1
15.735,1
5.603,0
0.663,0
13.750,1
14.886,1
14.899,1
5.571,0
15.235,1
12.950,1
4.997,0
0.582,0
9.570,1
9.120,0
14.167,1
13.517,1
15.363,1
5.374,0
13.649,1
14.400,1
5.121,0
13.803,1
12.313,1
10.317,0
11.857,1
12.010,1
15.090,1
13.841,1
5.071,0
0.710,0
11.489,1
12.038,1
18.346,1
15.185,1
5.270,0
16.528,1
14.646,1
5.273,0
19.200,1
5.358,0
16.013,1
5.372,0
14.748,1
13.897,1
19.798,1
5.178,0
0.740,0
0.761,0
15.056,1
12.596,1
8.689,0
0.609,0
16.005,1
12.959,1
5.028,0
13.972,1
13.856,1
21.457,1
5.398,0
10.937,1
14.359,1
5.274,0
0.495,0
0.656,0
13.583,1
11.147,1
7.930,0
0.573,0
0.719,0
11.639,1
12.418,0
0.627,0
13.292,1
12.092,1
14.406,1
5.129,0
0.572,0
13.203,1
13.627,1
19.667,1
20.218,1
11.004,1
9.203,0
0.528,0
0.697,0
14.411,1
5.606,0
14.320,1
11.998,1
8.865,0
0.692,0
18.525,1
5.296,0
0.533,0
14.310,1
11.150,1
8.862,0
13.701,1
13.433,1
5.370,0
11.332,1
15.161,1
13.992,1
18.168,1
18.034,1
5.069,0
0.546,0
0.724,0
10.390,1
8.902,0
0.623,0
13.513,1
15.315,1
4.736,0
11.876,1
5.727,0
0.755,0
15.564,1
5.256,0
17.119,1
5.377,0
11.475,1
8.922,0
12.326,1
19.533,1
4.952,0
11.597,1
16.009,1
12.237,1
8.533,0
12.707,1
10.542,0
14.699,1
13.098,1
8.111,0
16.619,1
4.818,0
0.747,0
0.697,0
16.200,1
13.440,1
5.371,0
0.563,0
0.652,0
11.631,1
14.068,1
4.934,0
11.620,1
11.344,1
15.914,1
5.401,0
12.272,1
5.429,0
11.524,1
6.853,1
9.398,1
10.205,1
5.121,0
6.445,1
8.242,1
7.320,0
6.701,1
6.412,1
4.567,0
0.691,0
10.122,1
7.320,0
0.548,0
0.546,0
8.985,1
6.327,1
6.988,1
4.132,1
4.879,0
8.522,1
4.333,0
6.903,1
10.126,1
11.333,1
5.066,1
3.980,0
5.791,1
9.392,1
5.033,0
0.718,0
7.925,1
7.344,1
5.044,0
10.077,1
5.334,0
6.948,1
8.603,0
5.024,1
6.977,1
6.628,1
5.076,0
6.688,1
5.090,0
0.704,0
0.568,0
0.742,0
9.238,1
10.034,1
5.032,0
7.892,1
4.760,1
0.709,0
0.491,0
9.776,1
7.305,1
9.733,1
7.410,1
4.855,1
0.541,0
0.699,0
0.537,0
0.618,0
8.479,1
11.842,0
6.735,1
7.071,1
5.446,0
0.628,0
9.426,1
7.071,0
6.828,1
7.345,1
4.592,0
10.222,1
12.444,0
4.923,1
0.608,0
0.512,0
7.286,1
5.821,0
4.542,1
6.923,1
10.098,1
4.667,0
0.653,0
9.858,1
4.649,1
0.822,0
7.600,1
6.619,1
7.852,1
0.695,0
0.533,0
0.674,0
8.722,1
7.031,1
4.562,0
0.690,0
9.344,1
5.600,1
7.086,1
4.928,0
12.638,1
8.063,1
6.014,1
0.744,0
9.903,1
6.278,1
10.678,1
6.119,0
5.439,1
0.668,0
6.180,1
4.965,1
0.531,0
10.402,1
13.172,1
6.486,1
11.472,1
9.074,1
4.978,1
5.178,1
6.925,0
4.348,1
0.667,0
7.485,1
6.736,1
7.308,1
10.543,1
4.559,1
0.741,0
10.490,0
4.977,1
0.552,0
9.238,1
5.002,0
0.685,1
6.272,1
4.921,1
0.706,0
0.720,0
9.551,1
4.746,1
12.434,0
5.177,1
7.256,1
4.621,1
0.528,0
0.709,0
10.739,1
7.529,1
7.837,1
4.549,0
0.729,0
5.994,0
5.126,1
0.492,0
13.285,1
7.126,1
4.844,1
0.753,0
0.705,0
0.541,0
0.740,0
1.130,0
9.619,1
6.207,1
9.307,1
0.546,0
0.470,0
10.607,1
9.341,1
0.557,0
0.664,0
11.080,1
21.349,1
4.971,1
0.693,0
0.491,0
11.405,1
9.346,0
0.449,0
13.077,1
5.507,1
4.531,0
5.146,0
5.128,0
5.459,0
12.944,0
15.708,1
4.611,1
8.992,1
0.522,0
10.044,1
0.587,0
0.706,0
17.168,1
11.126,1
4.873,1
14.399,0
13.023,1
16.657,1
10.010,1
13.618,1
11.957,1
12.747,1
5.496,1
0.734,0
15.694,1
12.494,0
18.277,1
4.873,1
0.733,0
0.551,0
13.214,0
5.340,1
0.668,0
12.496,0
10.050,1
0.696,0
0.535,0
12.656,0
5.257,1
14.227,1
4.982,1
0.498,0
0.703,0
14.007,1
4.864,1
10.796,0
13.500,1
12.728,1
5.360,1
0.641,0
13.217,0
5.071,1
10.093,1
12.941,1
11.879,1
5.015,1
8.868,0
11.778,1
0.475,0
0.703,0
9.213,0
13.628,1
7.397,1
14.121,1
13.075,0
5.533,1
0.701,0
0.529,0
0.586,0
12.041,0
5.182,1
0.711,0
0.606,0
0.710,0
0.540,0
0.559,0
0.630,0
0.691,0
