RTT,Label
14.210,1
5.070,0
13.938,1
4.846,0
13.376,1
14.172,1
4.904,0
13.049,1
4.906,0
13.495,1
15.593,1
4.969,0
0.471,0
13.502,1
5.018,0
11.152,1
12.942,1
5.234,0
0.514,0
0.492,0
13.676,1
4.394,0
11.522,1
4.940,1
11.436,1
5.056,0
0.651,0
12.225,1
5.044,0
14.391,1
11.982,1
17.605,1
11.266,1
13.794,1
11.369,1
8.583,0
5.130,0
4.576,1
13.210,1
5.073,0
13.146,1
12.964,1
4.746,0
14.190,1
14.270,1
14.223,1
11.394,1
8.510,0
11.668,1
13.795,1
5.172,0
12.883,1
5.019,0
12.173,1
13.649,1
15.641,1
7.911,0
0.576,0
13.646,1
13.592,1
9.565,1
8.842,0
15.356,1
13.203,1
4.966,0
0.633,0
14.088,1
5.260,0
9.494,1
11.825,1
11.056,1
5.544,0
10.545,1
8.809,0
13.384,1
12.893,1
4.551,0
20.088,1
13.472,1
12.802,1
12.873,1
4.910,0
0.592,0
14.075,1
13.460,1
11.660,1
11.134,1
5.224,0
13.481,1
13.300,1
4.913,0
14.945,1
5.155,0
12.447,1
5.337,0
13.971,1
13.770,1
15.522,1
5.177,0
0.705,0
0.478,0
17.090,1
8.486,0
0.551,0
13.324,1
14.607,1
4.847,0
10.364,1
14.573,1
13.444,1
5.002,0
0.650,1
13.600,1
4.908,0
4.997,0
5.077,0
22.774,1
11.661,1
9.036,0
0.658,0
0.573,0
10.325,1
9.097,0
0.684,0
13.335,1
14.473,1
14.823,1
5.001,0
0.674,0
11.995,1
14.542,1
11.136,1
11.511,1
14.776,1
11.298,1
9.359,0
0.611,0
0.706,0
14.815,1
5.339,0
11.312,1
14.110,1
9.522,0
0.715,0
15.080,1
5.581,0
0.535,0
13.155,1
7.269,0
14.539,1
13.958,1
5.299,0
14.203,1
13.034,1
14.488,1
11.595,1
11.057,1
8.667,0
0.656,0
0.701,0
14.357,1
5.166,0
0.614,0
13.399,1
14.603,1
8.928,0
14.947,1
5.513,0
0.552,0
12.049,1
4.811,0
14.160,1
4.934,0
14.157,1
10.548,1
9.057,0
15.099,1
11.034,1
9.094,0
13.917,1
11.094,1
14.617,1
18.025,1
11.551,1
8.429,0
14.152,1
5.697,0
15.526,1
8.928,0
11.878,1
8.980,0
5.221,0
4.845,0
11.434,1
11.302,1
14.044,1
5.320,0
0.724,0
0.673,0
12.314,1
14.806,1
4.998,0
11.064,1
8.662,0
10.552,1
12.714,1
5.744,0
14.904,1
14.154,1
5.282,0
11.177,1
12.965,1
13.140,1
15.651,1
5.509,0
13.618,1
10.254,1
8.430,0
15.743,1
11.159,1
8.368,0
0.562,0
11.492,1
9.104,0
0.592,0
0.758,0
13.955,1
11.343,1
14.159,1
5.134,0
14.032,1
5.153,0
13.572,1
13.795,1
10.185,1
9.016,0
11.455,1
7.452,0
5.122,0
13.228,1
4.838,1
0.713,0
14.710,1
4.923,0
14.734,1
5.062,0
8.793,1
0.690,0
13.546,1
4.990,0
0.611,0
0.628,0
0.510,0
12.143,1
12.571,1
8.804,0
14.024,1
14.614,1
4.982,0
0.630,0
15.822,1
10.008,1
8.627,0
0.621,0
0.653,0
0.689,0
13.627,1
5.875,0
13.543,1
4.937,0
0.490,0
12.366,1
4.978,0
11.238,1
12.953,1
5.276,0
13.031,1
4.787,0
13.984,1
4.887,0
0.830,0
15.433,1
20.246,0
5.593,1
16.894,1
5.163,1
0.727,0
0.641,0
13.826,1
5.090,0
13.376,1
15.317,1
5.003,0
0.636,0
0.732,0
11.714,1
8.815,1
0.716,0
0.552,0
13.250,1
8.587,1
0.666,0
17.305,1
11.354,1
15.369,1
5.168,0
10.116,1
18.121,1
13.735,1
9.377,0
9.349,1
0.489,0
11.307,1
15.436,0
4.633,1
12.527,1
13.101,1
7.899,1
8.275,1
12.141,1
10.840,0
18.293,1
16.150,0
12.794,1
13.864,1
10.919,1
11.175,1
8.628,1
0.613,0
0.597,0
13.318,1
8.646,0
8.425,1
0.720,0
10.781,1
12.510,1
5.070,1
0.703,0
0.595,0
13.397,1
4.883,1
0.641,0
11.074,1
19.382,1
14.493,1
4.993,0
0.473,0
11.145,1
5.158,1
10.891,0
0.466,0
0.692,0
14.654,1
15.503,0
14.794,1
3.722,1
10.266,1
9.019,0
0.678,0
0.761,0
0.584,0
11.203,0
9.491,1
9.021,0
0.681,0
11.483,1
9.005,1
0.617,0
0.470,0
13.803,1
5.219,1
0.513,1
0.700,0
11.716,0
4.821,1
0.610,0
8.773,1
0.519,0
0.565,0
0.721,0
0.646,0
0.734,0
13.684,1
12.108,1
8.619,1
0.634,0
10.437,0
12.995,1
9.328,1
0.588,0
9.747,0
17.432,1
12.539,1
5.161,1
11.964,0
19.821,1
9.616,1
10.833,1
8.464,1
11.277,1
12.135,1
12.469,1
15.242,1
4.625,1
14.398,0
5.515,1
11.523,0
13.549,1
5.132,1
0.489,0
0.654,0
10.415,0
4.892,1
0.625,0
11.285,0
11.787,1
8.694,1
0.703,0
0.612,0
9.279,0
8.979,1
14.070,0
13.578,1
8.184,1
8.765,1
0.540,0
13.331,1
5.250,1
11.399,0
14.375,1
9.742,1
11.256,1
0.563,0
0.531,0
14.024,1
14.427,0
11.786,1
10.283,1
8.925,1
5.334,1
11.689,0
4.995,1
0.638,0
0.739,0
0.571,0
10.183,1
13.164,1
5.277,1
12.210,0
5.345,1
0.607,0
0.641,0
0.619,0
10.016,0
8.402,1
0.551,0
0.613,0
0.603,0
0.692,0
0.612,0
0.482,0
0.706,0
