delta_1,delta_2,Treshold,Error
1.0,0.05,9.23,0.0234375
1.0,0.045,10.11,0.0390625
1.0,0.04,9.635,0.078125
0.8657142857142857,0.05,8.84,0.0234375
0.8657142857142857,0.045,9.09,0.046875
0.8657142857142857,0.04,9.845,0.0390625
0.7314285714285715,0.05,8.995000000000001,0.0078125
0.7314285714285715,0.045,9.42,0.03125
0.7314285714285715,0.04,8.58,0.0078125
0.5971428571428572,0.05,9.200000000000001,0.0
0.5971428571428572,0.045,8.835,0.0234375
0.5971428571428572,0.04,9.040000000000001,0.0234375
0.46285714285714286,0.05,8.25,0.0078125
0.46285714285714286,0.045,8.43,0.0078125
0.46285714285714286,0.04,9.255,0.0078125
0.32857142857142857,0.05,8.2,0.0
0.32857142857142857,0.045,9.75,0.015625
0.32857142857142857,0.04,9.21,0.0234375
0.19428571428571428,0.05,9.325000000000001,0.015625
0.19428571428571428,0.045,8.795,0.0
0.19428571428571428,0.04,8.43,0.0078125
0.06,0.05,1.82,0.5
0.06,0.045,2.415,0.4921875
0.06,0.04,2.81,0.4921875
