delta_1,delta_2,Treshold,Error
0.15,1.0,6.9350000000000005,0.0
0.15,0.8642857142857143,8.205,0.0078125
0.15,0.7285714285714285,8.625,0.0078125
0.15,0.5928571428571429,8.41,0.0
0.15,0.45714285714285713,7.055,0.0
0.15,0.3214285714285714,9.03,0.0078125
0.15,0.18571428571428572,7.78,0.0078125
0.15,0.05,8.915000000000001,0.015625
0.12,1.0,7.42,0.015625
0.12,0.8642857142857143,6.945,0.0078125
0.12,0.7285714285714285,8.375,0.015625
0.12,0.5928571428571429,7.79,0.0078125
0.12,0.45714285714285713,6.465,0.0078125
0.12,0.3214285714285714,8.18,0.0078125
0.12,0.18571428571428572,7.575,0.0078125
0.12,0.05,8.17,0.0
0.09,1.0,6.88,0.0625
0.09,0.8642857142857143,7.68,0.078125
0.09,0.7285714285714285,6.67,0.0546875
0.09,0.5928571428571429,6.755,0.0625
0.09,0.45714285714285713,6.640000000000001,0.0625
0.09,0.3214285714285714,7.015000000000001,0.0546875
0.09,0.18571428571428572,6.97,0.0390625
0.09,0.05,6.575,0.1015625
0.06,1.0,2.0300000000000002,0.4921875
0.06,0.8642857142857143,1.8,0.4921875
0.06,0.7285714285714285,0.64,0.4296875
0.06,0.5928571428571429,1.45,0.5
0.06,0.45714285714285713,1.465,0.4921875
0.06,0.3214285714285714,4.23,0.4921875
0.06,0.18571428571428572,2.36,0.5
0.06,0.05,2.015,0.5
