bit, RTT
0,25.516
1,51.897
0,10.863
1,25.406
0,6.530
1,44.555
0,7.768
1,44.457
0,3.210
1,32.982
0,7.236
1,36.742
0,6.445
1,25.778
0,5.743
1,21.951
0,4.768
1,17.243
0,5.145
1,11.484
0,5.059
1,29.256
0,5.743
1,15.476
0,4.885
1,16.172
0,4.965
1,15.198
0,28.161
1,15.347
0,6.485
1,17.367
0,5.153
1,15.442
0,5.249
1,16.910
0,5.559
1,17.525
0,5.730
1,9.711
0,0.897
1,15.348
0,4.843
1,9.868
0,4.645
1,13.718
0,6.363
1,15.589
0,10.344
1,17.634
0,5.170
1,10.132
0,5.754
1,10.895
0,5.445
1,12.613
0,1.240
1,13.140
0,5.186
1,19.668
0,8.098
1,14.584
0,5.326
1,19.565
0,4.959
1,17.870
0,4.929
1,9.587
0,5.309
1,12.537
0,5.675
1,11.990
0,4.858
1,13.296
0,4.641
1,10.013
0,4.400
1,9.844
0,5.384
1,15.267
0,4.747
1,21.970
0,5.135
1,10.991
0,4.977
1,9.546
0,5.108
1,11.650
0,4.964
1,12.190
0,5.994
1,20.652
0,6.041
1,17.195
0,4.790
1,10.787
0,5.008
1,11.692
0,10.203
1,17.378
0,4.826
1,14.620
0,5.485
1,12.173
0,5.507
1,16.164
0,4.938
1,17.811
0,5.324
1,13.983
0,5.719
1,3.575
0,0.612
1,10.251
0,5.185
1,10.193
0,4.587
1,9.986
0,4.729
1,11.498
0,5.185
1,11.057
0,4.568
1,13.202
0,4.877
1,10.274
0,5.847
1,10.892
the calculated threshold is: 11.635
the expected error is: 0.1640625
