bit, RTT
0,0.793
1,50.231
0,9.252
1,25.237
0,7.570
1,49.506
0,4.871
1,44.058
0,4.427
1,33.632
0,7.059
1,38.213
0,10.893
1,12.872
0,5.267
1,18.899
0,5.681
1,29.365
0,9.727
1,26.542
0,6.253
1,22.579
0,4.606
1,15.510
0,0.716
1,9.267
0,3.998
1,15.019
0,14.528
1,10.633
0,5.214
1,14.439
0,4.748
1,10.937
0,5.575
1,15.893
0,8.294
1,13.023
0,4.920
1,11.794
0,5.281
1,11.152
0,5.464
1,9.979
0,5.247
1,8.923
0,4.800
1,15.398
0,8.875
1,9.062
0,4.847
1,10.677
0,5.803
1,10.492
0,5.142
1,10.193
0,5.763
1,9.714
0,6.173
1,14.182
0,4.035
1,9.620
0,5.048
1,8.875
0,4.978
1,10.062
0,5.791
1,10.178
0,4.728
1,12.427
0,5.156
1,9.070
0,5.192
1,8.961
0,5.102
1,9.634
0,5.175
1,13.721
0,6.642
1,14.653
0,5.307
1,19.162
0,0.892
1,10.144
0,5.480
1,10.360
0,4.082
1,10.445
0,5.170
1,8.392
0,4.974
1,17.983
0,5.241
1,11.329
0,7.239
1,11.469
0,5.225
1,10.784
0,8.224
1,12.574
0,5.171
1,17.174
0,5.385
1,16.771
0,5.118
1,16.795
0,4.879
1,19.881
0,5.517
1,11.382
0,4.818
1,10.912
0,4.498
1,12.204
0,5.436
1,10.908
0,4.454
1,11.185
0,4.843
1,12.556
0,5.144
1,11.349
0,5.079
1,15.071
0,5.501
1,9.542
0,4.622
1,10.247
the calculated threshold is: 9.36
the expected error is: 0.078125
